	Total	separated						mainNot						exportNot						
		Gator	IC3	IC3-Dial	A3E	Story	ICCBot	Gator	IC3	IC3-Dial	A3E	Story	ICCBot	Gator	IC3	IC3-Dial	A3E	Story	ICCBot	
com.burhanrashid52.SelfieWithJennieBlackpinkkpop	20	13	20	17	20	17	6	19	19	18	19	17	16	16	16	15	16	14	11	
com.echurchapps.firstbaptistash	68	19	68	68	54	64	13	67	67	67	67	65	28	63	63	63	63	61	25	
jp.wec.mjcalc.free	2	0	2	2	2	2	2	0	1	1	1	1	1	0	1	1	1	1	1	
com.app_guad.layout	45	45	45	45	33	45	7	44	44	44	44	44	40	35	35	35	34	35	31	
com.papacekb.moon	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.linwo.yuzi	148	148	148	148	113	41	23	147	147	147	147	143	94	138	138	138	133	77	64	
com.sethchhim.kuboo	11	7	1	1	7	5	1	10	6	6	9	8	2	9	5	5	7	7	1	
com.bernard.IndiaNewsLive	4	1	4	4	4	2	1	3	3	3	3	3	3	3	3	3	3	3	3	
com.selfhealing.candle11	2	0	2	2	2	2	0	1	1	1	1	1	0	1	1	1	1	1	0	
com.caterpillar264.cortesdepelohombre	53	13	53	53	53	45	8	41	52	52	52	48	38	27	45	45	45	41	27	
com.familyringtones.soundsapp	15	15	15	15	10	15	8	14	14	14	14	14	11	12	12	12	11	12	9	
com.Appsinnovate.GIZCandyCareer	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.CantoJilguero.dosendev	59	31	59	59	59	59	2	57	58	58	58	58	57	56	57	57	57	57	28	
com.thekonnected	21	17	21	21	21	10	6	20	20	20	20	19	8	18	18	18	18	18	7	
com.resumeplay.speedscramble	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
air.com.EscapeGamesBombSquad2	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
br.com.icolibra.saaedoco	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.lionmobi.battery	96	32	96	96	22	27	18	63	95	95	62	49	51	42	76	76	41	29	37	
com.intoronto.myschedule	21	3	1	21	1	2	0	6	2	20	5	3	1	4	0	18	3	1	-1	
com.eliangames.neverland_treasure_new	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.snrsopstdios.carsonluadfggrders.song	52	12	52	52	52	44	8	40	51	51	51	47	37	27	45	45	45	41	27	
com.mcommerce.tray.lojadaconfeitaria	5	5	5	5	5	5	3	4	4	4	4	4	4	3	3	3	3	3	2	
com.nostiapps.claptofind	5	3	5	0	5	1	0	4	4	3	4	3	2	2	2	0	2	0	1	
physiotherapy.books	87	87	87	87	51	52	49	86	86	86	78	78	86	78	78	78	69	70	78	
com.ayoub.dev.stayla_algerie_o	5	3	5	5	3	2	0	4	4	4	3	2	0	4	4	4	3	2	0	
com.smsmegatools	5	0	2	2	0	2	0	0	3	3	0	3	0	0	3	3	0	3	0	
com.yft.jetbattle3dtab	11	11	11	11	8	11	6	10	10	10	10	10	9	8	8	8	8	8	7	
com.app.android.lknam.organizer	19	8	19	19	2	3	1	18	18	18	18	3	3	17	17	17	17	2	2	
com.codesector.indrive	9	2	0	0	1	0	0	2	0	0	1	-1	0	2	0	0	1	-1	0	
com.fcuoit.fcumobile	44	2	44	44	40	39	5	43	43	43	43	43	37	43	43	43	43	43	37	
com.shindig	5	1	1	1	3	1	1	1	2	2	4	2	1	1	2	2	4	2	1	
com.money.potion.myapp	8	1	8	8	8	8	1	6	7	7	7	7	6	6	7	7	7	7	6	
com.gogii.textplus	160	68	160	160	158	160	84	153	159	159	159	159	159	118	136	136	136	136	133	
com.seagate.goflexsatellite	39	20	39	39	21	37	4	38	38	38	35	37	15	19	28	28	22	28	8	
sweet.candy.camera	84	26	84	84	82	62	37	68	83	83	83	69	65	30	53	53	53	42	38	
com.delivery.eiyoSushi	13	13	13	13	12	13	10	12	12	12	12	12	11	6	6	6	6	6	6	
com.com.thedevs.com.brokensoundglass	3	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
com.rivalspil.president.captainhero	12	8	10	10	11	12	9	11	11	11	11	11	11	10	10	10	10	10	10	
com.MinimalistHomeDesignTwoFloors.azzalea	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.mobiloids.ballsorting	5	5	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	
com.jehanapps.solarchargersimulator	2	2	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	
com.etakescare.tucky	20	12	20	20	18	9	5	14	19	19	19	11	8	8	13	13	13	7	5	
com.owlab.food_angels	3	3	3	3	3	3	3	2	2	2	2	2	2	1	1	1	1	1	1	
com.slfteam.moonbook	22	1	22	22	22	18	1	3	21	21	21	21	19	2	20	20	20	20	18	
piproduction.frankthejew	4	4	2	2	2	4	0	3	3	3	3	3	1	3	3	3	3	3	1	
com.limebike	58	48	58	58	58	58	43	56	57	57	57	57	54	47	48	48	48	48	44	
com.rahmadwidodo94.alanwalker.offline	11	7	11	11	11	8	3	9	10	10	10	10	9	8	9	9	9	9	8	
test.mytestbuddy.medical	14	5	1	1	3	2	0	9	8	8	7	6	6	4	3	3	2	2	2	
com.risengrace.ministries	30	13	13	30	8	8	5	29	29	29	18	18	16	27	27	27	17	17	15	
com.ayodev.dictionary.arabic	3	1	1	1	3	0	0	2	2	2	2	0	0	2	2	2	2	0	0	
com.cadmiumcd.aapdcontainer2016	144	41	144	144	81	118	9	51	143	143	135	136	32	51	143	143	135	136	32	
com.pallapay	2	2	0	0	2	2	2	1	0	0	1	1	1	1	0	0	1	1	1	
conversor.conversaotaxasbasico.gbpbdt	4	1	4	4	4	4	1	1	3	3	3	3	1	1	3	3	3	3	1	
dbeats.app.mp3.merger.trimmer.mixer.converter.speedchanger.mp3editor	18	3	18	18	0	0	0	17	17	17	0	0	0	17	17	17	0	0	0	
com.uniregistry	249	10	249	249	249	249	6	74	248	248	248	248	197	70	243	243	243	243	192	
com.piedlove.haunted.cemetery.spooky.moon	5	5	5	1	2	2	1	4	4	3	3	3	3	0	0	0	0	0	0	
com.sugarloafgames.games.free.milkyway	5	5	2	2	5	5	5	4	2	2	4	4	4	3	1	1	3	3	3	
com.SmartCentre.healthVetamins	10	3	10	3	1	3	0	4	9	3	3	3	2	2	6	1	1	1	0	
emax.kannurshareef	7	5	3	0	1	5	2	5	3	3	1	5	2	5	3	3	1	5	2	
com.vsapps.locationplotter	3	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	
appchen117.myapplication	64	29	64	64	59	28	27	62	63	63	62	51	51	62	63	63	62	51	51	
com.mariana_biblia_portugues_audio_mp3.mariana_biblia_portugues_audio_mp3	2	2	2	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	
com.cutepics.hdcharliedameliowallpaper	23	19	23	23	21	19	3	22	22	22	22	21	20	18	18	18	18	17	13	
com.undercutcatalog.abadiio	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.mindvalley.mva	74	18	74	74	70	74	13	53	73	73	73	73	33	40	63	63	61	63	23	
pixel.craft.legends	11	11	11	11	10	11	10	10	10	10	10	10	10	4	4	4	4	4	4	
com.lvlworld.webapp	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
org.irmavep.app.image	6	6	3	1	6	3	3	5	3	2	5	3	3	4	3	2	4	2	2	
mobogram.mobogram.telegram.plus.messenger.hanista	48	48	48	48	48	46	22	47	47	47	47	46	42	29	29	29	29	28	20	
br.com.sportv.times.internacional	17	17	14	13	17	17	17	16	16	16	16	16	16	15	15	15	15	15	15	
com.monojrai831.PRESS_TV_HISPAN_TV	8	8	8	8	8	8	8	7	7	7	7	7	7	0	0	0	0	0	0	
com.hexlab.a_lock	16	7	16	16	13	14	8	14	15	15	14	14	13	8	9	9	8	8	6	
nl.ns.android.activity	109	109	109	109	99	77	8	108	108	108	108	108	108	104	104	104	103	103	66	
com.thegrizzlylabs.geniusscan.free	12	10	4	4	8	10	3	11	7	7	11	10	4	11	7	7	11	10	4	
com.capsuledna.bbtmhf	7	7	7	7	7	7	3	6	6	6	6	6	6	4	4	4	4	4	3	
com.dbai.predictbabyfacesix	5	0	5	5	5	1	1	1	4	4	4	3	3	1	4	4	4	3	3	
air.net.lol.genioquiz13	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.jjtapps.hechizosdeamorgratis.amarrescaseros.esoterismo.magiablancanegra	18	15	18	18	18	16	6	16	17	17	17	17	17	13	14	14	14	14	12	
com.alwali.latestmehndidesigns	7	2	1	1	2	1	1	6	3	3	6	4	4	6	3	3	6	4	4	
com.webapp.KidsSongsJukeboxs	3	3	3	3	1	3	1	2	2	2	2	2	2	1	1	1	1	1	1	
com.funwayhq.eisenfrauen	6	4	4	4	3	3	3	5	5	5	5	5	5	5	5	5	5	5	5	
com.aurorasi.aurorasfa	56	12	56	56	56	22	19	32	55	55	55	51	36	32	55	55	55	51	36	
air.SpeedCarRacing	13	13	13	13	13	13	10	12	12	12	12	12	12	10	10	10	10	10	10	
com.robertocaiazzo.dizionario	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
com.cyberlink.photodirector	34	24	34	34	16	16	5	33	33	33	33	33	17	12	13	13	11	10	9	
ch.opengis.qfield	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.fpfruits.gamepack	8	4	6	6	4	8	0	7	7	7	7	7	6	6	5	5	5	6	4	
