	#Component	completeness			connectivity			completeness				connectivity				edge Num				oracle	#false negative 				false negative rate			
		dynamic	manual	whole	dynamic	manual	whole	ICCBot	IC3	IC3-dial	Gator	ICCBot	IC3	IC3-dial	Gator	ICCBot	IC3	IC3-dial	Gator	whole	ICCBot	IC3	IC3-dial	Gator	ICCBot	IC3	IC3-dial	Gator
com.cutepics.hdcharliedameliowallpaper	23	0.08	0.08	0.08	0.00	0.00	0.00	0.39	0.08	0.08	0.12	2.26	0.00	0.00	0.26	26	0	0	3	0	0	0	0	0	0.00	0.00	0.00	0.00
pixel.craft.legends	11	0.20	0.20	0.20	0.00	0.00	0.00	0.23	0.20	0.20	0.20	0.18	0.00	0.00	0.00	1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
org.irmavep.app.image	6	0.17	0.17	0.17	0.00	0.00	0.00	0.54	0.50	0.71	0.17	0.67	0.67	1.33	0.00	2	2	4	0	0	0	0	0	0	0.00	0.00	0.00	0.00
mobogram.mobogram.telegram.plus.messenger.hanista	48	0.11	0.11	0.11	0.00	0.00	0.00	0.48	0.11	0.11	0.11	6.17	0.00	0.00	0.00	148	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
br.com.sportv.times.internacional	17	0.06	0.06	0.06	0.00	0.00	0.00	0.06	0.10	0.12	0.06	0.00	0.24	0.71	0.00	0	2	6	0	0	0	0	0	0	0.00	0.00	0.00	0.00
nl.ns.android.activity	109	0.02	0.02	0.02	0.00	0.00	0.00	0.33	0.02	0.02	0.02	10.68	0.00	0.00	0.00	582	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
com.capsuledna.bbtmhf	7	0.18	0.18	0.18	0.00	0.00	0.00	0.32	0.18	0.18	0.18	0.86	0.00	0.00	0.00	3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
com.dbai.predictbabyfacesix	5	0.15	0.15	0.15	0.00	0.00	0.00	0.50	0.15	0.15	0.85	1.60	0.00	0.00	6.40	4	0	0	16	0	0	0	0	0	0.00	0.00	0.00	0.00
air.net.lol.genioquiz13	1	0.75	0.75	0.75	0.00	0.00	0.00	0.75	0.75	0.75	0.75	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
com.alwali.latestmehndidesigns	7	0.11	0.11	0.11	0.00	0.00	0.00	0.54	0.64	0.64	0.29	1.14	3.43	3.43	0.86	4	12	12	3	0	0	0	0	0	0.00	0.00	0.00	0.00
com.aurorasi.aurorasfa	56	0.01	0.01	0.01	0.00	0.00	0.00	0.45	0.01	0.01	0.52	1.79	0.00	0.00	6.71	50	0	0	188	0	0	0	0	0	0.00	0.00	0.00	0.00
air.SpeedCarRacing	13	0.10	0.10	0.10	0.00	0.00	0.00	0.15	0.10	0.10	0.10	0.31	0.00	0.00	0.00	2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
com.cyberlink.photodirector	34	0.17	0.17	0.17	0.00	0.00	0.00	0.81	0.17	0.17	0.25	5.88	0.00	0.00	0.82	100	0	0	14	0	0	0	0	0	0.00	0.00	0.00	0.00
ch.opengis.qfield	2	0.38	0.38	0.38	0.00	0.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1	1	1	1	0	0	0	0	0	0.00	0.00	0.00	0.00
bluepin_app.cont.doongdoong1	4	0.19	0.19	0.19	0.00	0.00	0.00	0.25	0.31	0.31	0.19	0.50	0.50	0.50	0.00	1	1	1	0	0	0	0	0	0	0.00	0.00	0.00	0.00
