		callBack	staticCB	dynamicCB	implicitCB	atypicalICC	implicitICC	stringOp	staticVal	callContext	async	polym	nonAct	dynamicBC	fragment	adapter	widget	otherClass	isLibraryInvocation	staticCBOnly	dynamicCBOnly	implicitCBonly	atypicalICCOnly	implicitICCOnly	stringOpOnly	staticValOnly	callContextOnly	asyncOnly	polymOnly	nonActonly	dynamicBCOnly	fragmentOnly	adapterOnly	widgetOnly	otherClassOnly	libraryonly
eu.vranckaert.worktime	ICCBot      	10	4	6	0	12	4	0	0	1	0	4	0	0	0	0	8	5	8	0	5	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0
eu.vranckaert.worktime	IC3         	14	8	6	0	12	4	0	0	5	0	4	0	0	0	0	8	5	8	0	5	0	0	0	0	0	5	0	0	0	5	0	0	0	0	0
eu.vranckaert.worktime	IC3Dial     	38	8	14	17	12	5	0	1	7	0	4	2	0	0	0	8	5	8	0	12	13	0	0	0	0	7	0	0	1	12	0	0	0	0	0
eu.vranckaert.worktime	Gator         	19	4	13	3	12	5	0	1	1	0	4	2	0	0	0	8	5	8	0	11	1	0	0	0	0	1	0	0	1	11	0	0	0	0	0
eu.vranckaert.worktime	A3E         	23	8	6	9	12	5	0	1	7	0	4	1	0	0	0	8	5	8	0	5	7	0	0	0	0	7	0	0	0	5	0	0	0	0	0
eu.vranckaert.worktime	Story         	16	8	6	2	12	5	0	1	7	0	4	1	0	0	0	8	5	8	0	5	0	0	0	0	0	7	0	0	0	5	0	0	0	0	0
fr.ybo.transportsrennes	oracle       	21	6	8	13	1	5	0	5	1	1	13	6	1	6	1	8	12	5	0	0	2	1	0	0	0	0	1	7	0	0	6	1	4	0	0
fr.ybo.transportsrennes	ICCBot      	11	0	0	11	0	0	0	0	0	0	11	0	0	0	0	0	11	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
fr.ybo.transportsrennes	IC3         	14	6	7	7	1	0	0	0	0	1	7	1	1	6	0	0	8	3	0	0	0	1	0	0	0	0	1	4	0	0	6	0	0	0	0
fr.ybo.transportsrennes	IC3Dial     	21	6	8	13	1	5	0	5	1	1	13	6	1	6	1	8	12	5	0	0	2	1	0	0	0	0	1	7	0	0	6	1	4	0	0
fr.ybo.transportsrennes	Gator         	7	6	7	0	1	5	0	5	0	1	0	6	1	6	0	8	1	0	0	0	0	1	0	0	0	0	1	0	0	0	6	0	4	0	0
fr.ybo.transportsrennes	A3E         	17	6	6	11	1	5	0	5	1	0	12	6	1	6	0	4	11	5	0	0	0	1	0	0	0	0	0	6	0	0	6	0	0	0	0
fr.ybo.transportsrennes	Story         	13	6	6	7	1	5	0	5	0	0	7	6	1	6	0	4	7	3	0	0	0	1	0	0	0	0	0	4	0	0	6	0	0	0	0
iNaturalist	oracle       	89	2	79	45	0	0	0	0	27	2	35	21	0	36	20	0	2	5	0	20	8	0	0	0	0	0	0	0	17	20	2	19	0	0	2
iNaturalist	ICCBot      	2	0	2	1	0	0	0	0	0	0	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
iNaturalist	Gator         	44	2	42	31	0	0	0	0	26	2	31	21	0	32	8	0	2	4	0	0	0	0	0	0	0	0	0	0	17	0	2	7	0	0	2
iNaturalist	A3E         	87	2	78	43	0	0	0	0	26	2	34	21	0	35	20	0	2	5	0	20	7	0	0	0	0	0	0	0	17	20	2	19	0	0	2
iNaturalist	Story         	87	2	78	43	0	0	0	0	26	2	33	21	0	34	20	0	2	5	0	20	7	0	0	0	0	0	0	0	17	20	2	19	0	0	2
K9Mail	oracle       	33	0	15	18	2	0	0	0	5	0	1	14	0	3	0	2	0	0	0	10	13	0	0	0	0	3	0	0	11	10	1	0	0	0	0
