app	tool	common	only	last
syncthing	Story&ICCBot@TP	ICCBot	0.37	0.42	0.21
syncthing	Story&ICCBot@All	Story	0.24	0.06	0.70
syncthing	Story&ICCBot@All	ICCBot	0.24	0.70	0.06
com.oriondev.moneywallet	Gator&IC3@TP	Gator	0.12	0.11	0.77
com.oriondev.moneywallet	Gator&IC3@TP	IC3	0.12	0.16	0.72
com.oriondev.moneywallet	Gator&IC3@All	Gator	0.15	0.77	0.08
com.oriondev.moneywallet	Gator&IC3@All	IC3	0.15	0.08	0.77
com.oriondev.moneywallet	Gator&IC3dial@TP	Gator	0.00	0.23	0.77
com.oriondev.moneywallet	Gator&IC3dial@TP	IC3dial	0.00	0.00	1.00
com.oriondev.moneywallet	Gator&IC3dial@All	Gator	0.00	1.00	0.00
com.oriondev.moneywallet	Gator&IC3dial@All	IC3dial	0.00	0.00	1.00
com.oriondev.moneywallet	Gator&A3E@TP	Gator	0.02	0.21	0.77
com.oriondev.moneywallet	Gator&A3E@TP	A3E	0.02	0.00	0.98
com.oriondev.moneywallet	Gator&A3E@All	Gator	0.00	0.99	0.01
com.oriondev.moneywallet	Gator&A3E@All	A3E	0.00	0.01	0.99
com.oriondev.moneywallet	Gator&Story@TP	Gator	0.09	0.14	0.77
com.oriondev.moneywallet	Gator&Story@TP	Story	0.09	0.12	0.79
com.oriondev.moneywallet	Gator&Story@All	Gator	0.03	0.94	0.03
com.oriondev.moneywallet	Gator&Story@All	Story	0.03	0.03	0.94
com.oriondev.moneywallet	Gator&ICCBot@TP	Gator	0.18	0.05	0.77
com.oriondev.moneywallet	Gator&ICCBot@TP	ICCBot	0.18	0.35	0.47
com.oriondev.moneywallet	Gator&ICCBot@All	Gator	0.17	0.68	0.15
com.oriondev.moneywallet	Gator&ICCBot@All	ICCBot	0.17	0.15	0.68
com.oriondev.moneywallet	IC3&IC3dial@TP	IC3	0.00	0.28	0.72
com.oriondev.moneywallet	IC3&IC3dial@TP	IC3dial	0.00	0.00	1.00
com.oriondev.moneywallet	IC3&IC3dial@All	IC3	0.00	1.00	0.00
com.oriondev.moneywallet	IC3&IC3dial@All	IC3dial	0.00	0.00	1.00
com.oriondev.moneywallet	IC3&A3E@TP	IC3	0.02	0.26	0.72
com.oriondev.moneywallet	IC3&A3E@TP	A3E	0.02	0.00	0.98
com.oriondev.moneywallet	IC3&A3E@All	IC3	0.04	0.95	0.02
com.oriondev.moneywallet	IC3&A3E@All	A3E	0.04	0.02	0.95
com.oriondev.moneywallet	IC3&Story@TP	IC3	0.18	0.11	0.72
com.oriondev.moneywallet	IC3&Story@TP	Story	0.18	0.04	0.79
com.oriondev.moneywallet	IC3&Story@All	IC3	0.17	0.78	0.05
com.oriondev.moneywallet	IC3&Story@All	Story	0.17	0.05	0.78
com.oriondev.moneywallet	IC3&ICCBot@TP	IC3	0.23	0.05	0.72
com.oriondev.moneywallet	IC3&ICCBot@TP	ICCBot	0.23	0.30	0.47
com.oriondev.moneywallet	IC3&ICCBot@All	IC3	0.20	0.28	0.52
com.oriondev.moneywallet	IC3&ICCBot@All	ICCBot	0.20	0.52	0.28
com.oriondev.moneywallet	IC3dial&A3E@TP	IC3dial	0.00	0.00	1.00
com.oriondev.moneywallet	IC3dial&A3E@TP	A3E	0.00	0.02	0.98
com.oriondev.moneywallet	IC3dial&A3E@All	IC3dial	0.00	0.00	1.00
com.oriondev.moneywallet	IC3dial&A3E@All	A3E	0.00	1.00	0.00
com.oriondev.moneywallet	IC3dial&Story@TP	IC3dial	0.00	0.00	1.00
com.oriondev.moneywallet	IC3dial&Story@TP	Story	0.00	0.21	0.79
com.oriondev.moneywallet	IC3dial&Story@All	IC3dial	0.00	0.00	1.00
com.oriondev.moneywallet	IC3dial&Story@All	Story	0.00	1.00	0.00
com.oriondev.moneywallet	IC3dial&ICCBot@TP	IC3dial	0.00	0.00	1.00
com.oriondev.moneywallet	IC3dial&ICCBot@TP	ICCBot	0.00	0.53	0.47
com.oriondev.moneywallet	IC3dial&ICCBot@All	IC3dial	0.00	0.00	1.00
com.oriondev.moneywallet	IC3dial&ICCBot@All	ICCBot	0.00	1.00	0.00
com.oriondev.moneywallet	A3E&Story@TP	A3E	0.02	0.00	0.98
com.oriondev.moneywallet	A3E&Story@TP	Story	0.02	0.19	0.79
com.oriondev.moneywallet	A3E&Story@All	A3E	0.07	0.13	0.80
com.oriondev.moneywallet	A3E&Story@All	Story	0.07	0.80	0.13
com.oriondev.moneywallet	A3E&ICCBot@TP	A3E	0.02	0.00	0.98
com.oriondev.moneywallet	A3E&ICCBot@TP	ICCBot	0.02	0.51	0.47
com.oriondev.moneywallet	A3E&ICCBot@All	A3E	0.04	0.00	0.96
com.oriondev.moneywallet	A3E&ICCBot@All	ICCBot	0.04	0.96	0.00
com.oriondev.moneywallet	Story&ICCBot@TP	Story	0.21	0.00	0.79
com.oriondev.moneywallet	Story&ICCBot@TP	ICCBot	0.21	0.32	0.47
com.oriondev.moneywallet	Story&ICCBot@All	Story	0.16	0.00	0.84
com.oriondev.moneywallet	Story&ICCBot@All	ICCBot	0.16	0.84	0.00
PassAndroid	Gator&IC3@TP	Gator	0.60	0.07	0.33
PassAndroid	Gator&IC3@TP	IC3	0.60	0.20	0.20
PassAndroid	Gator&IC3@All	Gator	0.36	0.34	0.30
PassAndroid	Gator&IC3@All	IC3	0.36	0.30	0.34
PassAndroid	Gator&IC3dial@TP	Gator	0.60	0.07	0.33
PassAndroid	Gator&IC3dial@TP	IC3dial	0.60	0.20	0.20
PassAndroid	Gator&IC3dial@All	Gator	0.36	0.34	0.30
PassAndroid	Gator&IC3dial@All	IC3dial	0.36	0.30	0.34
PassAndroid	Gator&A3E@TP	Gator	0.20	0.47	0.33
PassAndroid	Gator&A3E@TP	A3E	0.20	0.27	0.53
PassAndroid	Gator&A3E@All	Gator	0.07	0.78	0.15
PassAndroid	Gator&A3E@All	A3E	0.07	0.15	0.78
PassAndroid	Gator&Story@TP	Gator	0.60	0.07	0.33
PassAndroid	Gator&Story@TP	Story	0.60	0.27	0.13
PassAndroid	Gator&Story@All	Gator	0.38	0.36	0.26
PassAndroid	Gator&Story@All	Story	0.38	0.26	0.36
PassAndroid	Gator&ICCBot@TP	Gator	0.53	0.13	0.33
PassAndroid	Gator&ICCBot@TP	ICCBot	0.53	0.27	0.20
PassAndroid	Gator&ICCBot@All	Gator	0.26	0.57	0.17
PassAndroid	Gator&ICCBot@All	ICCBot	0.26	0.17	0.57
PassAndroid	IC3&IC3dial@TP	IC3	0.80	0.00	0.20
PassAndroid	IC3&IC3dial@TP	IC3dial	0.80	0.00	0.20
PassAndroid	IC3&IC3dial@All	IC3	1.00	0.00	0.00
PassAndroid	IC3&IC3dial@All	IC3dial	1.00	0.00	0.00
PassAndroid	IC3&A3E@TP	IC3	0.40	0.40	0.20
PassAndroid	IC3&A3E@TP	A3E	0.40	0.07	0.53
PassAndroid	IC3&A3E@All	IC3	0.17	0.75	0.08
PassAndroid	IC3&A3E@All	A3E	0.17	0.08	0.75
PassAndroid	IC3&Story@TP	IC3	0.80	0.00	0.20
PassAndroid	IC3&Story@TP	Story	0.80	0.07	0.13
PassAndroid	IC3&Story@All	IC3	0.80	0.14	0.06
PassAndroid	IC3&Story@All	Story	0.80	0.06	0.14
PassAndroid	IC3&ICCBot@TP	IC3	0.67	0.13	0.20
PassAndroid	IC3&ICCBot@TP	ICCBot	0.67	0.13	0.20
PassAndroid	IC3&ICCBot@All	IC3	0.28	0.55	0.18
PassAndroid	IC3&ICCBot@All	ICCBot	0.28	0.18	0.55
PassAndroid	IC3dial&A3E@TP	IC3dial	0.40	0.40	0.20
PassAndroid	IC3dial&A3E@TP	A3E	0.40	0.07	0.53
PassAndroid	IC3dial&A3E@All	IC3dial	0.17	0.75	0.08
PassAndroid	IC3dial&A3E@All	A3E	0.17	0.08	0.75
PassAndroid	IC3dial&Story@TP	IC3dial	0.80	0.00	0.20
PassAndroid	IC3dial&Story@TP	Story	0.80	0.07	0.13
PassAndroid	IC3dial&Story@All	IC3dial	0.80	0.14	0.06
PassAndroid	IC3dial&Story@All	Story	0.80	0.06	0.14
PassAndroid	IC3dial&ICCBot@TP	IC3dial	0.67	0.13	0.20
PassAndroid	IC3dial&ICCBot@TP	ICCBot	0.67	0.13	0.20
PassAndroid	IC3dial&ICCBot@All	IC3dial	0.28	0.55	0.18
PassAndroid	IC3dial&ICCBot@All	ICCBot	0.28	0.18	0.55
PassAndroid	A3E&Story@TP	A3E	0.47	0.00	0.53
PassAndroid	A3E&Story@TP	Story	0.47	0.40	0.13
PassAndroid	A3E&Story@All	A3E	0.26	0.03	0.71
PassAndroid	A3E&Story@All	Story	0.26	0.71	0.03
PassAndroid	A3E&ICCBot@TP	A3E	0.47	0.00	0.53
PassAndroid	A3E&ICCBot@TP	ICCBot	0.47	0.33	0.20
PassAndroid	A3E&ICCBot@All	A3E	0.50	0.00	0.50
PassAndroid	A3E&ICCBot@All	ICCBot	0.50	0.50	0.00
PassAndroid	Story&ICCBot@TP	Story	0.73	0.13	0.13
PassAndroid	Story&ICCBot@TP	ICCBot	0.73	0.07	0.20
PassAndroid	Story&ICCBot@All	Story	0.33	0.50	0.17
PassAndroid	Story&ICCBot@All	ICCBot	0.33	0.17	0.50
CSipSimple	Gator&IC3@TP	Gator	0.00	0.12	0.88
CSipSimple	Gator&IC3@TP	IC3	0.00	0.28	0.72
CSipSimple	Gator&IC3@All	Gator	0.00	0.30	0.70
CSipSimple	Gator&IC3@All	IC3	0.00	0.70	0.30
CSipSimple	Gator&IC3dial@TP	Gator	0.00	0.12	0.88
CSipSimple	Gator&IC3dial@TP	IC3dial	0.00	0.00	1.00
CSipSimple	Gator&IC3dial@All	Gator	0.00	1.00	0.00
CSipSimple	Gator&IC3dial@All	IC3dial	0.00	0.00	1.00
CSipSimple	Gator&A3E@TP	Gator	0.04	0.08	0.88
CSipSimple	Gator&A3E@TP	A3E	0.04	0.12	0.84
CSipSimple	Gator&A3E@All	Gator	0.18	0.45	0.36
CSipSimple	Gator&A3E@All	A3E	0.18	0.36	0.45
CSipSimple	Gator&Story@TP	Gator	0.08	0.04	0.88
CSipSimple	Gator&Story@TP	Story	0.08	0.24	0.68
CSipSimple	Gator&Story@All	Gator	0.13	0.33	0.53
CSipSimple	Gator&Story@All	Story	0.13	0.53	0.33
CSipSimple	Gator&ICCBot@TP	Gator	0.08	0.04	0.88
CSipSimple	Gator&ICCBot@TP	ICCBot	0.08	0.76	0.16
CSipSimple	Gator&ICCBot@All	Gator	0.04	0.09	0.87
CSipSimple	Gator&ICCBot@All	ICCBot	0.04	0.87	0.09
